party,year,url
FDP,2009,https://www.freiheit.org/sites/default/files/2019-10/2009deutschlandprogramm.pdf
FDP,2013,https://www.freiheit.org/sites/default/files/2019-10/2013bundestagswahlprogramm.pdf
FDP,2017,https://www.freiheit.org/sites/default/files/2019-10/btw2017wahlprogramm.pdf
FDP,2021,https://www.freiheit.org/sites/default/files/2022-01/in5-1126-btw-2021-wahlprogramm.pdf
SPD,2009,https://www.spd.de/fileadmin/Dokumente/Beschluesse/Bundesparteitag/regierungsprogramm_bundesparteitag_berlin_2009.pdf
SPD,2013,https://www.spd.de/fileadmin/Dokumente/Beschluesse/Bundesparteitag/20130415_regierungsprogramm_2013_2017.pdf
SPD,2017,https://www.spd.de/fileadmin/Dokumente/Regierungsprogramm/SPD_Regierungsprogramm_BTW_2017_A5_RZ_WEB.pdf
SPD,2021,https://www.spd.de/fileadmin/Dokumente/Beschluesse/Programm/SPD-Zukunftsprogramm.pdf
Union,2009,https://www.hss.de/fileadmin/user_upload/HSS/Dokumente/ACSP/Bundestagswahlen/BTW-2009.pdf
Union,2013,https://archiv.cdu.de/sites/default/files/media/dokumente/regierungsprogramm-2013-2017-langfassung-20130911.pdf
Union,2017,https://assets.ctfassets.net/nwwnl7ifahow/5ygq6hxAwtfFxYlzZeG5s9/ae726e6e8c59cf53d1abac0e47e3ca0e/170703regierungsprogramm2017.pdf
Union,2021,https://www.csu.de/common/download/Regierungsprogramm.pdf
Die Linke,2009,https://www.die-linke.de/fileadmin/download/wahlprogramme_alt/bundestagswahlprogramm2009.pdf
Die Linke,2013,https://www.die-linke.de/fileadmin/download/wahlprogramme_alt/bundestagswahlprogramm2013.pdf
Die Linke,2017,https://www.die-linke.de/fileadmin/download/wahlprogramme_alt/bundestagswahlprogramm2017.pdf
Die Linke,2021,https://www.die-linke.de/fileadmin/download/wahlprogramme_alt/bundestagswahlprogramm2021.pdf
AfD,2013,https://manifesto-project.wzb.eu/down/originals/41953_2013.pdf
AfD,2017,https://www.afd.de/wp-content/uploads/2017/06/2017-06-01_AfD-Bundestagswahlprogramm_Onlinefassung.pdf
AfD,2021,https://www.afd.de/wp-content/uploads/2021/06/20210611_AfD_Programm_2021.pdf
